#--------------------------------------------------				
#	お宝定義ファイル			
#--------------------------------------------------				
51	# size of configs			
{				
	name			orima
	archive			null
	bmd			null
	radius			12
	p_radius			9
	height			10
	inertiascaling		200	
	particletype		simple	
	numparticles		0	
	particlesize		1	
	friction		0.1	
	min			1
	max			4
	pikicountmax		0	
	pikicountmin		0	
	dynamics		never	
	money			0
	offset			0 8.5 0
	end			
}				
{				
	name			Kochappy
	archive			null
	bmd			null
	radius			22
	p_radius			13
	height			14
	inertiascaling		200	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			6
	max			8
	pikicountmax		6	
	pikicountmin		6	
	dynamics		lod	
	money			4
	offset			0 0 0
	end			
}				
{				
	name			YellowKochappy
	archive			null
	bmd			null
	radius			22
	p_radius			13
	height			14
	inertiascaling		200	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			3
	max			6
	pikicountmax		4	
	pikicountmin		4	
	dynamics		lod	
	money			2
	offset			0 0 0
	end			
}				
{				
	name			BlueKochappy
	archive			null
	bmd			null
	radius			22
	p_radius			13
	height			14
	inertiascaling		200	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			3
	max			6
	pikicountmax		4	
	pikicountmin		4	
	dynamics		lod	
	money			2
	offset			0 0 0
	end			
}				
{				
	name			Chappy
	archive			null
	bmd			null
	radius			40
	p_radius			30
	height			30
	inertiascaling		700	
	particletype		simple	
	numparticles		8	
	particlesize		1	
	friction		0.1	
	min			10
	max			20
	pikicountmax		12	
	pikicountmin		12	
	dynamics		lod	
	money			7
	offset			0 0 55
	end			
}				
{				
	name			YellowChappy
	archive			null
	bmd			null
	radius			40
	p_radius			30
	height			30
	inertiascaling		700	
	particletype		simple	
	numparticles		8	
	particlesize		1	
	friction		0.1	
	min			10
	max			20
	pikicountmax		12	
	pikicountmin		12	
	dynamics		lod	
	money			7
	offset			0 0 55
	end			
}				
{				
	name			BlueChappy
	archive			null
	bmd			null
	radius			40
	p_radius			30
	height			30
	inertiascaling		700	
	particletype		simple	
	numparticles		8	
	particlesize		1	
	friction		0.1	
	min			10
	max			20
	pikicountmax		12	
	pikicountmin		12	
	dynamics		lod	
	money			7
	offset			0 0 55
	end			
}				
{				
	name			UjiA
	archive			null
	bmd			null
	radius			10
	p_radius			10
	height			10
	inertiascaling		90	
	particletype		simple	
	numparticles		0	
	particlesize		1	
	friction		0.1	
	min			50
	max			70
	pikicountmax		50	
	pikicountmin		2	
	dynamics		never	
	money			1
	offset			0 0 0
	end			
}				
{				
	name			UjiB
	archive			null
	bmd			null
	radius			10
	p_radius			10
	height			10
	inertiascaling		90	
	particletype		simple	
	numparticles		0	
	particlesize		1	
	friction		0.1	
	min			1
	max			1
	pikicountmax		3	
	pikicountmin		3	
	dynamics		never	
	money			2
	offset			0 0 0
	end			
}				
{				
	name			Tobi
	archive			null
	bmd			null
	radius			12
	p_radius			12
	height			12
	inertiascaling		90	
	particletype		simple	
	numparticles		0	
	particlesize		1	
	friction		0.1	
	min			1
	max			1
	pikicountmax		4	
	pikicountmin		4	
	dynamics		never	
	money			2
	offset			0 0 0
	end			
}				
{				
	name			Frog
	archive			null
	bmd			null
	radius			30
	p_radius			22
	height			14
	inertiascaling		400	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			7
	max			14
	pikicountmax		8	
	pikicountmin		8	
	dynamics		lod	
	money			5
	offset			-27.3 0 12.3
	end			
}				
{				
	name			MaroFrog
	archive			null
	bmd			null
	radius			30
	p_radius			22
	height			14
	inertiascaling		400	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			7
	max			14
	pikicountmax		8	
	pikicountmin		8	
	dynamics		lod	
	money			7
	offset			-0.6 0 -34
	end			
}				
{				
	name			Tank
	archive			null
	bmd			null
	radius			25
	p_radius			18
	height			10
	inertiascaling		250	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			7
	max			15
	pikicountmax		8	
	pikicountmin		8	
	dynamics		lod	
	money			4
	offset			32.3 0 -2.5
	end			
}				
{				
	name			Wtank
	archive			null
	bmd			null
	radius			25
	p_radius			18
	height			10
	inertiascaling		250	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			7
	max			15
	pikicountmax		8	
	pikicountmin		8	
	dynamics		lod	
	money			4
	offset			32.3 0 -2.5
	end			
}				
{				
	name			Sarai
	archive			null
	bmd			null
	radius			20
	p_radius			15
	height			10
	inertiascaling		150	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			3
	max			6
	pikicountmax		4	
	pikicountmin		4	
	dynamics		lod	
	money			4
	offset			0 0 0
	end			
}				
{				
	name			Demon
	archive			null
	bmd			null
	radius			20
	p_radius			15
	height			10
	inertiascaling		150	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			3
	max			6
	pikicountmax		8	
	pikicountmin		8	
	dynamics		lod	
	money			4
	offset			-4.265 0 -27.91
	end			
}				
{				
	name			BombSarai
	archive			null
	bmd			null
	radius			20
	p_radius			15
	height			10
	inertiascaling		150	
	particletype		simple	
	numparticles		4	
	particlesize		1	
	friction		0.1	
	min			3
	max			6
	pikicountmax		8	
	pikicountmin		8	
	dynamics		lod	
	money			4
	offset			10.5 0 -37
	end			
}				
{				
	name			Catfish
	archive			null
	bmd			null
	radius			22
	p_radius			15
