#-----------------------------------------------------------------------------------------			
#	パワーアップアイテム定義ファイル		
#-----------------------------------------------------------------------------------------			
13	# size of configs		
{			
	name		fue_a
	archive		fue_a.szs
	bmd		eq_pwr_punch.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		20
	p_radius		15
	height		18
	inertiascaling		230
	particletype		simple
	numparticles		4
	particlesize		1
	friction		0.1
	min		2
	max		3
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		11
	unique		yes
	depth		0
	depth_max		70
	depth_a		20
	depth_b		20
	depth_c		20
	depth_d		20
	message		0009_00
	code	0	
	dictionary	188	
	end		
}			
{			
	name		fue_b
	archive		fue_b.szs
	bmd		eq_elec_helmet.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		28
	p_radius		28
	height		15
	inertiascaling		300
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		17
	max		33
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		161
	unique		yes
	depth		0
	depth_max		42
	depth_a		50
	depth_b		50
	depth_c		50
	depth_d		50
	message		0010_00
	code	0	
	dictionary	192	
	end		
}			
{			
	name		fue_wide
	archive		fue_wide.szs
	bmd		eq_wide_pipe.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		50
	p_radius		30
	height		34
	inertiascaling		1000
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		38
	max		57
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		190
	unique		yes
	depth		0
	depth_max		34
	depth_a		50
	depth_b		50
	depth_c		25
	depth_d		25
	message		0011_00
	code	0	
	dictionary	194	
	end		
}			
{			
	name		fue_pullout
	archive		fue_pullout.szs
	bmd		eq_pull_pipe.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		35
	p_radius		25
	height		15
	inertiascaling		600
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		1
	max		1
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		46
	unique		yes
	depth		0
	depth_max		15
	depth_a		25
	depth_b		25
	depth_c		25
	depth_d		25
	message		0012_00
	code	0	
	dictionary	195	
	end		
}			
{			
	name		light_a
	archive		light_a.szs
	bmd		eq_flashlight.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		25
	p_radius		20
	height		60
	inertiascaling		400
	particletype		simple
	numparticles		4
	particlesize		1
	friction		0.1
	min		2
	max		3
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		21
	unique		yes
	depth		0
	depth_max		14
	depth_a		10
	depth_b		10
	depth_c		10
	depth_d		10
	message		0013_00
	code	0	
	dictionary	190	
	end		
}			
{			
	name		suit_powerup
	archive		suit_powerup.szs
	bmd		eq_pwr_helmet.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		25
	p_radius		25
	height		15
	inertiascaling		250
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		45
	max		67
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		221
	unique		yes
	indirect		use
	depth		0
	depth_max		52
	depth_a		20
	depth_b		20
	depth_c		20
	depth_d		20
	message		0014_00
	code	2	
	dictionary	193	
	end		
}			
{			
	name		suit_fire
	archive		suit_fire.szs
	bmd		eq_fire_helmet.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		35
	p_radius		25
	height		15
	inertiascaling		250
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		20
	max		30
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		100
	unique		yes
	indirect		use
	depth		0
	depth_max		42
	depth_a		50
	depth_b		50
	depth_c		50
	depth_d		50
	message		0015_00
	code	2	
	dictionary	191	
	end		
}			
{			
	name		dashboots
	archive		dashboots.szs
	bmd		eq_dashboots.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		50
	p_radius		45
	height		45
	inertiascaling		800
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		60
	max		90
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		300
	unique		yes
	depth		0
	depth_max		54
	depth_a		50
	depth_b		50
	depth_c		50
	depth_d		50
	message		0016_00
	code	0	
	dictionary	189	
	end		
}			
{			
	name		radar_a
	archive		radar_a.szs
	bmd		eq_rader_a.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		55
	p_radius		55
	height		10
	inertiascaling		1000
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		70
	max		90
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		200
	unique		yes
	depth		0
	depth_max		35
	depth_a		50
	depth_b		50
	depth_c		50
	depth_d		50
	message		0017_00
	code	0	
	dictionary	186	
	end		
}			
{			
	name		radar_b
	archive		radar_b.szs
	bmd		eq_rader_b.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		45
	p_radius		45
	height		6
	inertiascaling		450
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		35
	max		58
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		230
	unique		yes
	depth		0
	depth_max		8
	depth_a		20
	depth_b		20
	depth_c		20
	depth_d		20
	message		0018_00
	code	0	
	dictionary	187	
	end		
}			
{			
	name		map01
	archive		map01.szs
	bmd		us_eq_map01.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		52
	p_radius		53
	height		50
	inertiascaling		750
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		101
	max		202
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		200
	unique		yes
	depth		0
	depth_max		50
	depth_a		53
	depth_b		53
	depth_c		53
	depth_d		53
	message		0019_00
	code	0	
	dictionary	184	
	end		
}			
{			
	name		map02
	archive		map02.szs
	bmd		us_eq_map02.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		52
	p_radius		52
	height		50
	inertiascaling		750
	particletype		simple
	numparticles		8
	particlesize		1
	friction		0.1
	min		364
	max		728
	pikicountmax		0
	pikicountmin		0
	dynamics		lod
	money		360
	unique		yes
	depth		0
	depth_max		60
	depth_a		52
	depth_b		52
	depth_c		52
	depth_d		52
	message		0020_00
	code	0	
	dictionary	185	
	end		
}			
{			
	name		key
	archive		key.szs
	bmd		test_key.bmd
	animmgr		animmgr.txt
	colltree		collInfo.txt
	radius		15
	p_radius		12
	height		8
	inertiascaling		50
	particletype		simple
	numparticles		0
	particlesize		1
	friction		0.1
	min		1
	max		2
	pikicountmax		0
	pikicountmin		0
	dynamics		never
	money		31
	unique		yes
	depth		0
	depth_max		40
	depth_a		10
	depth_b		35
	depth_c		35
	depth_d		35
	message		0021_00
