#		
#		
#	units definition file	
#		
#		
39	# number of units	
# room_kingchp_tsuchi		
{		
	1 	# version
	room_kingchp_tsuchi 	# foldername
	8 8 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	1 5 0 	# dir/offs/wpindex
	2 	# door links
	1561.028198 1 1 	# dist/door-id/tekiflag
	1417.522949 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 1 1 	# dir/offs/wpindex
	2 	# door links
	1561.028320 0 1 	# dist/door-id/tekiflag
	608.836670 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 5 2 	# dir/offs/wpindex
	2 	# door links
	1417.523071 0 1 	# dist/door-id/tekiflag
	608.836670 1 1 	# dist/door-id/tekiflag
}		
# cap_pipe		
{		
	1 	# version
	cap_pipe 	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_ike3_2_snow		
{		
	1 	# version
	room_ike3_2_snow 	# foldername
	7 6 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	2 	# num doors
	0 	# index
	0 3 0 	# dir/offs/wpindex
	1 	# door links
	1412.211182 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 3 1 	# dir/offs/wpindex
	1 	# door links
	1412.211182 0 1 	# dist/door-id/tekiflag
}		
# item_cap_pipe		
{		
	1 	# version
	item_cap_pipe 	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# way3_pipe		
{		
	1 	# version
	way3_pipe 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	3 	# num doors
	0 	# index
	1 0 0 	# dir/offs/wpindex
	2 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 0 2 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
}		
# way4_pipe		
{		
	1 	# version
	way4_pipe 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	4 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
