#		
#		
#	units definition file	
#		
#		
45	# number of units	
# room_hitode4x4_tekiF_3_metal		
{		
	1 	# version
	room_hitode4x4_tekiF_3_metal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	2 	# door links
	897.036316 1 1 	# dist/door-id/tekiflag
	589.724182 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 2 1 	# dir/offs/wpindex
	2 	# door links
	897.036255 0 1 	# dist/door-id/tekiflag
	587.309082 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 2 2 	# dir/offs/wpindex
	2 	# door links
	589.724121 0 1 	# dist/door-id/tekiflag
	587.309082 1 1 	# dist/door-id/tekiflag
}		
# room_hitode4x4_tower_3_metal		
{		
	1 	# version
	room_hitode4x4_tower_3_metal 	# foldername
	4 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	0 1 0 	# dir/offs/wpindex
	2 	# door links
	897.036316 1 1 	# dist/door-id/tekiflag
	589.724182 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 2 1 	# dir/offs/wpindex
	2 	# door links
	897.036255 0 1 	# dist/door-id/tekiflag
	587.309082 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 2 2 	# dir/offs/wpindex
	2 	# door links
	589.724121 0 1 	# dist/door-id/tekiflag
	587.309082 1 1 	# dist/door-id/tekiflag
}		
# room_houdai_1_metal		
{		
	1 	# version
	room_houdai_1_metal 	# foldername
	9 9 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 4 0 	# dir/offs/wpindex
	0 	# door links
}		
# cap_metal		
{		
	1 	# version
	cap_metal	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_nobo1_4_metal		
{		
	1 	# version
	room_nobo1_4_metal 	# foldername
	8 8 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	4 	# num doors
	0 	# index
	0 4 0 	# dir/offs/wpindex
	3 	# door links
	816.024597 1 1 	# dist/door-id/tekiflag
	3691.383545 2 1 	# dist/door-id/tekiflag
	4130.224121 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	3 	# door links
	816.024658 0 1 	# dist/door-id/tekiflag
	4167.399414 2 1 	# dist/door-id/tekiflag
	4606.240234 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 3 2 	# dir/offs/wpindex
	3 	# door links
	2467.369141 0 1 	# dist/door-id/tekiflag
	1991.353271 1 1 	# dist/door-id/tekiflag
	778.849915 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 7 3 	# dir/offs/wpindex
	3 	# door links
	2906.209473 0 1 	# dist/door-id/tekiflag
	2430.194092 1 1 	# dist/door-id/tekiflag
	778.849854 2 1 	# dist/door-id/tekiflag
}		
# room_houdai_1_metal		
{		
	1 	# version
	room_houdai_1_metal 	# foldername
	9 9 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 4 0 	# dir/offs/wpindex
	0 	# door links
}		
# item_cap_metal		
{		
	1 	# version
	item_cap_metal 	# foldername
	1 1 	# dX/dZ ; cell size
	0 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	0 	# door links
}		
# way3_metal		
{		
	1 	# version
	way3_metal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	3 	# num doors
	0 	# index
	1 0 0 	# dir/offs/wpindex
	2 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	2 	# index
	3 0 2 	# dir/offs/wpindex
	2 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
}		
# way4_metal		
{		
	1 	# version
	way4_metal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	4 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	3 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 0 1 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 0 2 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 0 3 	# dir/offs/wpindex
	3 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
	170.004532 1 1 	# dist/door-id/tekiflag
	170.004532 2 1 	# dist/door-id/tekiflag
}		
# wayl_metal		
{		
	1 	# version
	wayl_metal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	2 0 0 	# dir/offs/wpindex
	1 	# door links
	136.006516 1 1 	# dist/door-id/tekiflag
	1 	# index
	3 0 1 	# dir/offs/wpindex
	1 	# door links
	136.006516 0 1 	# dist/door-id/tekiflag
}		
# way2_metal		
{		
	1 	# version
	way2_metal 	# foldername
	1 1 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	170.004532 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	170.004532 0 1 	# dist/door-id/tekiflag
}		
# way2x2_metal		
{		
	1 	# version
	way2x2_metal 	# foldername
	1 2 	# dX/dZ ; cell size
	2 	# room type
	0 0 	# room Flags
	2 	# num doors
	0 	# index
	0 0 0 	# dir/offs/wpindex
	1 	# door links
	340.009064 1 1 	# dist/door-id/tekiflag
	1 	# index
	2 0 1 	# dir/offs/wpindex
	1 	# door links
	340.009064 0 1 	# dist/door-id/tekiflag
}		
# room_cent_4_metal		
{		
	1 	# version
	room_cent_4_metal 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	4 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	3 	# door links
	850.039917 1 1 	# dist/door-id/tekiflag
	850.039917 2 1 	# dist/door-id/tekiflag
	850.039917 3 1 	# dist/door-id/tekiflag
	1 	# index
	1 2 1 	# dir/offs/wpindex
	3 	# door links
	850.039917 0 1 	# dist/door-id/tekiflag
	850.039917 2 1 	# dist/door-id/tekiflag
	850.039917 3 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	3 	# door links
	850.039917 0 1 	# dist/door-id/tekiflag
	850.039917 1 1 	# dist/door-id/tekiflag
	850.039917 3 1 	# dist/door-id/tekiflag
	3 	# index
	3 2 3 	# dir/offs/wpindex
	3 	# door links
	850.039917 0 1 	# dist/door-id/tekiflag
	850.039917 1 1 	# dist/door-id/tekiflag
	850.039917 2 1 	# dist/door-id/tekiflag
}		
# room_mid1_6_metal		
{		
	1 	# version
	room_mid1_6_metal 	# foldername
	5 7 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	6 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	5 	# door links
	680.049377 1 1 	# dist/door-id/tekiflag
	1278.041748 2 1 	# dist/door-id/tekiflag
	1190.044678 3 1 	# dist/door-id/tekiflag
	1278.041504 4 1 	# dist/door-id/tekiflag
	680.051270 5 1 	# dist/door-id/tekiflag
	1 	# index
	1 1 1 	# dir/offs/wpindex
	5 	# door links
	680.049377 0 1 	# dist/door-id/tekiflag
	1448.060181 2 1 	# dist/door-id/tekiflag
	1360.063232 3 1 	# dist/door-id/tekiflag
	1448.059814 4 1 	# dist/door-id/tekiflag
	850.069763 5 1 	# dist/door-id/tekiflag
	2 	# index
	1 5 2 	# dir/offs/wpindex
	5 	# door links
	1278.041748 0 1 	# dist/door-id/tekiflag
	1448.060303 1 1 	# dist/door-id/tekiflag
	597.994812 3 1 	# dist/door-id/tekiflag
	850.008545 4 1 	# dist/door-id/tekiflag
	1448.062256 5 1 	# dist/door-id/tekiflag
	3 	# index
	2 2 3 	# dir/offs/wpindex
	5 	# door links
	1190.044678 0 1 	# dist/door-id/tekiflag
	1360.063232 1 1 	# dist/door-id/tekiflag
	597.994812 2 1 	# dist/door-id/tekiflag
	597.994446 4 1 	# dist/door-id/tekiflag
	1360.065186 5 1 	# dist/door-id/tekiflag
	4 	# index
	3 5 4 	# dir/offs/wpindex
	5 	# door links
	1278.041504 0 1 	# dist/door-id/tekiflag
	1448.060059 1 1 	# dist/door-id/tekiflag
	850.008545 2 1 	# dist/door-id/tekiflag
	597.994446 3 1 	# dist/door-id/tekiflag
	1448.061890 5 1 	# dist/door-id/tekiflag
	5 	# index
	3 1 5 	# dir/offs/wpindex
	5 	# door links
	680.051270 0 1 	# dist/door-id/tekiflag
	850.069763 1 1 	# dist/door-id/tekiflag
	1448.062134 2 1 	# dist/door-id/tekiflag
	1360.065186 3 1 	# dist/door-id/tekiflag
	1448.061768 4 1 	# dist/door-id/tekiflag
}		
# room_mid2_3_metal		
{		
	1 	# version
	room_mid2_3_metal 	# foldername
	7 4 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	0 3 0 	# dir/offs/wpindex
	2 	# door links
	890.213196 1 1 	# dist/door-id/tekiflag
	890.213196 2 1 	# dist/door-id/tekiflag
	1 	# index
	2 5 1 	# dir/offs/wpindex
	2 	# door links
	890.213196 0 1 	# dist/door-id/tekiflag
	1210.925781 2 1 	# dist/door-id/tekiflag
	2 	# index
	2 1 2 	# dir/offs/wpindex
	2 	# door links
	890.213196 0 1 	# dist/door-id/tekiflag
	1210.925781 1 1 	# dist/door-id/tekiflag
}		
# room_north_1_metal		
{		
	1 	# version
	room_north_1_metal 	# foldername
	5 5 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	1 	# num doors
	0 	# index
	2 2 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_ari1_3_metal		
{		
	1 	# version
	room_ari1_3_metal 	# foldername
	8 8 	# dX/dZ ; cell size
	1 	# room type
	0 1 	# room Flags
	3 	# num doors
	0 	# index
	0 2 0 	# dir/offs/wpindex
	2 	# door links
	1770.415527 1 1 	# dist/door-id/tekiflag
	1451.473389 2 1 	# dist/door-id/tekiflag
	1 	# index
	1 5 1 	# dir/offs/wpindex
	2 	# door links
	1770.415527 0 1 	# dist/door-id/tekiflag
	1330.382568 2 1 	# dist/door-id/tekiflag
	2 	# index
	2 2 2 	# dir/offs/wpindex
	2 	# door links
	1451.473389 0 1 	# dist/door-id/tekiflag
	1330.382568 1 1 	# dist/door-id/tekiflag
}		
# room_north2x2_1_metal		
{		
	1 	# version
	room_north2x2_1_metal 	# foldername
	2 2 	# dX/dZ ; cell size
	1 	# room type
	0 0 	# room Flags
	1 	# num doors
	0 	# index
	2 1 0 	# dir/offs/wpindex
	0 	# door links
}		
# room_hitode2x2_4_metal		
{		
	1 	# version
