8 	# Data 
11 	# Point (0) 
0.000000 0.050000 0.100000 0.150000 0.200000 0.230000 0.280000 0.330000 0.380000 0.430000 0.460000 	# Time 
0.500000 0.900000 1.000000 0.900000 0.000000 0.000000 0.400000 0.000000 0.200000 0.020000 0.000000 	# Power 
19 	# Point (1) 
0.000000 0.160000 0.190000 0.240000 0.260000 0.370000 0.400000 0.450000 0.460000 0.540000 0.560000 0.610000 0.620000 0.700000 0.730000 0.780000 0.790000 0.860000 0.920000 	# Time 
1.000000 0.950000 0.000000 0.000000 0.900000 0.850000 0.000000 0.000000 0.800000 0.730000 0.000000 0.000000 0.640000 0.530000 0.000000 0.000000 0.440000 0.350000 0.000000 	# Power 
7 	# Point (2) 
0.000000 0.030000 0.060000 0.080000 0.100000 0.160000 0.300000 	# Time 
0.700000 0.500000 0.700000 0.600000 0.200000 0.050000 0.000000 	# Power 
12 	# Point (3) 
0.000000 0.090000 0.100000 0.190000 0.200000 0.290000 0.300000 0.400000 0.500000 0.700000 1.000000 1.500000 	# Time 
0.500000 0.250000 0.450000 0.200000 0.400000 0.150000 0.300000 0.200000 0.145000 0.110000 0.125000 0.200000 	# Power 
4 	# Point (4) 
0.000000 0.080000 0.120000 0.200000 	# Time 
0.900000 0.900000 0.600000 0.000000 	# Power 
16 	# Point (5) 
0.070000 0.180000 0.290000 0.300000 0.400000 0.600000 0.630000 0.750000 1.000000 1.750000 1.800000 1.900000 2.000000 2.150000 2.300000 2.600000 	# Time 
1.000000 1.000000 0.000000 0.900000 0.900000 0.000000 0.750000 0.750000 0.000000 0.000000 0.700000 0.700000 0.000000 0.500000 0.500000 0.000000 	# Power 
16 	# Point (6) 
0.000000 2.005688 2.383517 2.526800 3.203388 3.290930 3.719341 4.353100 4.393504 4.484599 4.484599 4.484599 4.484599 4.563657 5.312565 7.647495 	# Time 
0.251720 0.333686 0.877729 0.089378 0.187560 0.000000 0.282536 0.000000 0.917961 0.916130 0.916130 0.916130 0.916130 0.000000 0.102924 0.102924 	# Power 
24 	# Point (7) 
0.000000 1.264566 1.345171 1.537024 1.669751 1.770493 1.897900 2.092514 2.558102 2.641037 2.803258 2.897671 3.509892 3.595751 3.749634 3.897771 4.693327 4.754733 5.262597 5.459539 5.770247 6.094277 6.459851 7.034818 	# Time 
0.120316 0.121852 0.522462 0.522462 0.031483 0.518757 0.518757 0.110993 0.103800 0.335313 0.338369 0.000000 0.000000 0.427264 0.430291 0.005559 0.000000 1.000000 0.288982 0.208278 0.168943 0.222906 0.109770 0.009041 	# Power 
